Wine Name,Winery,Region,Country,Vintage Year,Average Rating,Number of Ratings,Price (Euros)
Brunello di Montalcino Riserva,Unknown,Brunello di Montalcino,Italie,1955,4.9,35,1970.05
L'Extravagant de Doisy-Daëne Sauternes,Unknown,Sauternes,France,2001,4.9,32,397.5
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,Unknown,Champagne Grand Cru 'Le Mesnil-sur-Oger',France,1996,4.8,1004,2882.5
Pauillac (Premier Grand Cru Classé),Unknown,Pauillac,France,2003,4.8,1000,1900.0
Grand Vin Pauillac (Premier Grand Cru Classé),Unknown,Pauillac,France,2003,4.8,920,1686.25
Toscana,Unknown,Toscana,Italie,2006,4.8,797,4910.0
Sauternes,Unknown,Sauternes,France,2015,4.8,763,811.25
Toscana,Unknown,Toscana,Italie,2005,4.8,762,4697.5
Toscana,Unknown,Toscana,Italie,2001,4.8,651,5231.25
Toscana,Unknown,Toscana,Italie,2002,4.8,490,1686.25
