Vintage Year,Average Rating
1955,4.8
1962,4.7
1959,4.7
1929,4.7
1999,4.6
1965,4.6
1910,4.6
1968,4.5
1977,4.5
1975,4.5
N.V.,4.5
2008,4.4
1997,4.4
1995,4.3
2004,4.3
2010,4.2
2009,4.2
2007,4.2
2005,4.2
2003,4.2
2012,4.1
1998,4.0
1982,4.0
2011,4.0
2006,3.8
2013,3.8
2015,3.7
2017,3.7
2000,3.6
2014,3.6
2016,3.6
1996,3.5
2002,3.4
2018,3.4
2001,3.3
1979,3.1
1989,2.9
1990,2.9
1985,2.9
1988,2.8
1994,2.8
1983,2.7
2019,2.5
2022,2.4
1986,2.3
1978,2.3
1992,2.3
1993,2.3
1980,2.2
1961,2.2
1987,1.8
1991,1.8
2021,1.7
1967,1.6
1970,1.5
1960,1.5
1974,1.5
2020,1.4
1976,1.1
1984,0.0
1981,0.0
1973,0.0
1972,0.0
1964,0.0
1958,0.0
1949,0.0
1948,0.0
1937,0.0
1934,0.0
