vintage_id,vintage_name,wine_name,ratings_average,ratings_count,price_euros,price_discounted_from,price_discount_percentage,bottle_volume_ml
8519046,Biondi-Santi Brunello di Montalcino Riserva 1955,Brunello di Montalcino Riserva,4.9,35,1970.05,,,750
1443139,Château Doisy-Daëne L'Extravagant de Doisy-Daëne Sauternes 2001,L'Extravagant de Doisy-Daëne Sauternes,4.9,32,397.5,,,375
1889890,Pétrus Pomerol 1990,Pomerol,4.8,1190,6300.0,,,750
1161459,Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1996,Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.8,1004,2882.5,,,750
93707,Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2003,Pauillac (Premier Grand Cru Classé),4.8,1000,1900.0,,,750
2641965,Château Latour Grand Vin Pauillac (Premier Grand Cru Classé) 2003,Grand Vin Pauillac (Premier Grand Cru Classé),4.8,920,1686.25,,,750
6880159,Masseto Toscana 2006,Toscana,4.8,797,4910.0,,,1500
14207721,Château d'Yquem Sauternes 2015,Sauternes,4.8,763,811.25,,,750
6988511,Masseto Toscana 2005,Toscana,4.8,762,4697.5,,,1500
7201085,Masseto Toscana 2001,Toscana,4.8,651,5231.25,,,1500
